Bloc : 13,20 | Moyenne : 167.246094
Bloc : 13,21 | Moyenne : 171.849609
Bloc : 13,22 | Moyenne : 97.790039
Bloc : 13,23 | Moyenne : 55.458984
Bloc : 13,24 | Moyenne : 98.064453
Bloc : 13,25 | Moyenne : 66.886719
Bloc : 13,26 | Moyenne : 46.811523
Bloc : 13,27 | Moyenne : 80.916016
Bloc : 13,28 | Moyenne : 90.669922
Bloc : 13,29 | Moyenne : 120.702148
Bloc : 13,30 | Moyenne : 107.290039
Bloc : 13,31 | Moyenne : 80.412109
Bloc : 14,0 | Moyenne : 93.962891
Bloc : 14,1 | Moyenne : 89.862305
Bloc : 14,2 | Moyenne : 93.143555
Bloc : 14,3 | Moyenne : 81.319336
Bloc : 14,4 | Moyenne : 71.762695
Bloc : 14,5 | Moyenne : 90.198242
Bloc : 14,6 | Moyenne : 79.394531
Bloc : 14,7 | Moyenne : 138.212891
Bloc : 14,8 | Moyenne : 134.477539
Bloc : 14,9 | Moyenne : 144.943359
Bloc : 14,10 | Moyenne : 166.589844
Bloc : 14,11 | Moyenne : 192.489258
Bloc : 14,12 | Moyenne : 179.996094
Bloc : 14,13 | Moyenne : 192.750000
Bloc : 14,14 | Moyenne : 188.625977
Bloc : 14,15 | Moyenne : 180.327148
Bloc : 14,16 | Moyenne : 189.903320
Bloc : 14,17 | Moyenne : 145.354492
Bloc : 14,18 | Moyenne : 145.474609
Bloc : 14,19 | Moyenne : 202.565430
Bloc : 14,20 | Moyenne : 151.828125
Bloc : 14,21 | Moyenne : 132.983398
Bloc : 14,22 | Moyenne : 101.871094
Bloc : 14,23 | Moyenne : 63.733398
Bloc : 14,24 | Moyenne : 71.306641
Bloc : 14,25 | Moyenne : 71.332031
Bloc : 14,26 | Moyenne : 55.299805
Bloc : 14,27 | Moyenne : 58.658203
Bloc : 14,28 | Moyenne : 81.649414
Bloc : 14,29 | Moyenne : 125.015625
Bloc : 14,30 | Moyenne : 88.500977
Bloc : 14,31 | Moyenne : 67.940430
Bloc : 15,0 | Moyenne : 97.809570
Bloc : 15,1 | Moyenne : 82.657227
Bloc : 15,2 | Moyenne : 98.071289
Bloc : 15,3 | Moyenne : 85.852539
Bloc : 15,4 | Moyenne : 76.025391
Bloc : 15,5 | Moyenne : 92.388672
Bloc : 15,6 | Moyenne : 77.662109
Bloc : 15,7 | Moyenne : 138.980469
Bloc : 15,8 | Moyenne : 140.492188
Bloc : 15,9 | Moyenne : 120.086914
Bloc : 15,10 | Moyenne : 148.419922
Bloc : 15,11 | Moyenne : 135.203125
Bloc : 15,12 | Moyenne : 144.164062
Bloc : 15,13 | Moyenne : 199.000977
Bloc : 15,14 | Moyenne : 186.331055
Bloc : 15,15 | Moyenne : 154.209961
Bloc : 15,16 | Moyenne : 129.011719
Bloc : 15,17 | Moyenne : 107.537109
Bloc : 15,18 | Moyenne : 108.541992
Bloc : 15,19 | Moyenne : 156.445312
Bloc : 15,20 | Moyenne : 170.945312
Bloc : 15,21 | Moyenne : 137.577148
Bloc : 15,22 | Moyenne : 103.122070
Bloc : 15,23 | Moyenne : 80.888672
Bloc : 15,24 | Moyenne : 83.403320
Bloc : 15,25 | Moyenne : 63.113281
Bloc : 15,26 | Moyenne : 57.546875
Bloc : 15,27 | Moyenne : 39.802734
Bloc : 15,28 | Moyenne : 62.268555
